% Ny a b nu datacount wallunits? ustar
% 97 -1 1 3.3333333333333335e-05 1 0 0.033516926749001662
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
0.001817633201163571 0.00038723704231147373 -0.0043717917878332794 0.00037583813757080845 -1.7284723795966873e-05 0.000588037261466059 0.72902707427413871 -0.14689282990331015 0.8759199041774488
0.0016910840442876385 0.00036348530447001412 -0.0042899266744257725 0.00035335731373195952 -2.0856991757972846e-05 0.00056037863851307048 0.73309394570418118 -0.16358272488977482 0.89667667059395595
0.0015202832219568529 0.0003248622297001681 -0.0042709029168839733 0.00033899366235142604 -1.5706996353200053e-05 0.00050197759967303044 0.73757014965838374 -0.17816465695075628 0.91573480660914008
0.0013070063396267706 0.00029758431299518759 -0.0043621603424587284 0.00031854210310002792 -1.2973384914078739e-05 0.00047198657501396914 0.73935789622569792 -0.19365480613302791 0.9330127023587258
0.0010984168001101358 0.00026742738407011348 -0.0038401769022260797 0.00030104710939394478 -1.5449386151221863e-05 0.00043611855926671642 0.7427770625924186 -0.20565930864814377 0.94843637124056235
0.00093539850176993511 0.00024870622181500794 -0.0037885745493909211 0.00029230367538460723 -1.476741531496677e-05 0.00042827407300600795 0.74490172164011015 -0.21703804509650312 0.9619397667366133
0.00084660170294581505 0.0002241632329433554 -0.0035166651245128648 0.00029163090241521571 -7.8911481681077603e-06 0.00043246219867245283 0.74752313445605112 -0.22594193077823438 0.97346506523428555
0.00075964304164743979 0.00020707343489109883 -0.0034209070943255733 0.00029608962728497676 4.2410597912152665e-07 0.00046125796636773997 0.74878972636633845 -0.23417318726967715 0.98296291363601562
0.00069972426572939561 0.00018463835557344641 -0.0030790802193825829 0.00029841498216604277 8.4627051310736694e-06 0.00044444974280954372 0.7515934079334019 -0.23879923276340959 0.99039264069681154
0.00064272920899766106 0.00016489223660652805 -0.0026024559957493242 0.00029304191632068129 1.7746083416505812e-05 0.00045305699831070523 0.75234190163690529 -0.24338052954786121 0.99572243118476644
0.00061558518470183898 0.00014266173585779878 -0.0019938219260025288 0.00029224575822585266 2.3978791610708997e-05 0.00045365407621073553 0.75474996886793877 -0.24417949325082774 0.99892946211876654
0.00059893205713823505 0.00012515131509920109 -0.0015162086171300879 0.00029463658647595404 1.9551933028040645e-05 0.00044500316319511554 0.7547444173909964 -0.24525558310900364 1.0000000005
0.0005971924026187958 9.3522618977346473e-05 -0.00094760203548458388 0.00029264627346565803 2.0049654629060304e-05 0.00044944932355509096 0.75562554410045923 -0.24330391801830728 0.99892946211876654
0.00063474292563237 6.5461520091134441e-05 -0.00047001212621395049 0.00029376473808801 1.9474575879221375e-05 0.0004375640813833697 0.75449964551253368 -0.24122278567223282 0.99572243118476644
0.00068948137554636357 2.9336858278182695e-05 0.0004890362718442732 0.00028997985613388009 2.2123716676109295e-05 0.00044101044913977163 0.75433839316390983 -0.23605424753290166 0.99039264069681154
0.00078923312240042343 -1.5755330961859776e-05 0.00077637287505698922 0.00028828143104932139 1.4027433995265596e-05 0.00044248272362405495 0.75234365473893128 -0.23061925889708437 0.98296291363601562
0.0008590751969510535 -6.093224421040709e-05 0.0015066333504979833 0.00029228570633696405 1.7180092610748753e-05 0.00043256946608051749 0.75195452549613417 -0.22151053973815138 0.97346506523428555
0.00097234932892642512 -9.417803436653477e-05 0.0016401104241988884 0.00029657596960990651 1.9007964125078208e-05 0.00041933617712953112 0.74962853944230645 -0.21231122729430682 0.9619397667366133
0.0011041111607430487 -0.00013237794605084984 0.0022755893913316136 0.00030399857333422389 1.6392792362918962e-05 0.00042520708678900592 0.74906872987209183 -0.19936764136847054 0.94843637124056235
0.0012170527048215307 -0.00016078218563221047 0.0022811303804744945 0.00030144479183253281 2.3565920566297889e-05 0.000405165697800866 0.74685116778607319 -0.18616153457265258 0.9330127023587258
0.00137824106604445 -0.00019251886817938526 0.0028229524218851732 0.00030223531154200778 2.1814737990211948e-05 0.00042484936072402957 0.74573381153832674 -0.17000099507081329 0.91573480660914008
0.0014915827052579544 -0.0002127691330567095 0.0034183324948055065 0.00030368491677619275 2.0644813567257563e-05 0.00046886578087486754 0.74288382789401708 -0.15379284269993893 0.89667667059395595
0.001699501556709504 -0.00025038073032121152 0.0038462474130137774 0.00031764463080538916 2.3274487984289883e-05 0.00050611057373104644 0.74046385239759194 -0.13545605177985681 0.8759199041774488
0.0018614011866978641 -0.00028243328245983076 0.0037264746174477978 0.00033302610570728125 1.6703532376676817e-05 0.00054654584931214986 0.73649790082634059 -0.11705549019370996 0.85355339102005057
0.0021658372957463756 -0.0003199602737161828 0.0039720063217823908 0.00034923161461096876 1.1518314740340099e-05 0.00060686967416451252 0.73373720676123189 -0.095935701203638896 0.82967290796487081
0.0024119212692375047 -0.0003562944759270971 0.0039228448948291873 0.00036042639849643058 8.1710650400679259e-06 0.0006409727497776117 0.72851400053192106 -0.075866714374629718 0.80438071490655072
0.0028048531187365722 -0.00039290635350311165 0.0039881342138918434 0.00038257566633848603 6.3191617095118412e-06 0.00068447004785103678 0.72377504262209913 -0.054010074276594544 0.77778511689869367
0.0029843912849507603 -0.00042211438930019155 0.0039464944237217114 0.00041550442623460048 7.3808638560564515e-06 0.00072173979119446877 0.71707829982706017 -0.032921700547939754 0.75000000037499992
0.0032297527071037946 -0.00046636908088203794 0.0037915813763264644 0.00043144458330804473 2.7494689126708268e-06 0.00080294029017535676 0.71147639499632886 -0.0096679504737439484 0.72114434547007278
0.0035849874148589089 -0.0005072656071612564 0.0038942090399015682 0.0004757286804437213 7.3021665223138541e-06 0.0008185525643306928 0.70386549872951898 0.012523782201303225 0.69134171652821574
0.0037113723861624259 -0.00052735444511345776 0.0035072500997780131 0.00051303197509016394 -1.363740525018308e-05 0.00091230584464580835 0.69745165893642369 0.036731925954482984 0.66071973298194075
0.0039034831260078007 -0.00057641507323669453 0.0036025626869894997 0.00054294510596526225 -5.7622958258429116e-06 0.00096054893512252518 0.6891164930805479 0.059706970214582836 0.62940952286596508
0.0040152097348935545 -0.0006056428086121308 0.0037168581412782191 0.00058903547446311183 -7.1918776437912999e-06 0.00095764585464259467 0.68126698822332243 0.083721826916485609 0.59754516130683677
0.0041647658035557922 -0.00065170855775630184 0.0034247338172781298 0.00064342043617975531 1.5455982853692046e-05 0.00097141749499598542 0.67195764792485446 0.1066945515321971 0.56526309639265737
0.0041816932542316221 -0.00066656538540183126 0.0028532275389335868 0.0006809490883462842 8.2029667000071854e-06 0.0010456797889631213 0.66239509328930612 0.12969352840788384 0.53270156488142228
0.0043267956106469718 -0.00070378184455752125 0.002404327082584382 0.00071909547741416625 6.1343862680084949e-07 0.0011157332156839141 0.65193363157509354 0.15193363132509355 0.50000000025000002
0.0043550347175755344 -0.00071096173291780346 0.001768926526363513 0.00075844397472321645 -6.303067805327207e-06 0.0011699276548066298 0.64183731453054915 0.17453887891197142 0.46729843561857776
0.0045381957500830183 -0.00076243881202004348 0.0022627080485284755 0.00081338028963742618 -2.3749011539252297e-05 0.0012562312521254683 0.62939353281625543 0.19465662870891282 0.43473690410734267
